,country,happiness_rank,gdp,gdp_rank
0,Luxembourg,17,"$101,994.09",1
1,Switzerland,1,"$80,675.31",2
2,Qatar,28,"$76,576.08",3
3,Norway,4,"$74,822.11",4
4,United States,15,"$55,805.20",5
5,Singapore,24,"$52,887.77",6
6,Denmark,3,"$52,114.17",7
7,Ireland,18,"$51,350.74",8
8,Australia,10,"$50,961.87",9
9,Iceland,2,"$50,854.58",10
10,Sweden,8,"$49,866.27",11
11,United Kingdom,21,"$43,770.69",12
12,Austria,13,"$43,724.03",13
13,Netherlands,7,"$43,603.12",14
14,Canada,5,"$43,331.96",15
15,Finland,6,"$41,973.99",16
16,Germany,26,"$40,996.51",17
17,Belgium,19,"$40,106.63",18
18,France,29,"$37,675.01",19
19,New Zealand,9,"$37,044.89",20
20,United Arab Emirates,20,"$36,060.02",21
21,Israel,11,"$35,343.34",22
22,Japan,44,"$32,485.55",23
23,Italy,47,"$29,866.58",24
24,Kuwait,38,"$29,363.03",25
25,Spain,36,"$25,864.72",26
26,Bahrain,46,"$23,509.98",27
27,Malta,37,"$22,734.23",28
28,Cyprus,63,"$22,587.49",29
29,Saudi Arabia,35,"$20,812.59",30
30,Slovenia,52,"$20,732.48",31
31,Portugal,81,"$19,121.59",32
32,Trinidad and Tobago,40,"$18,085.76",33
33,Greece,92,"$18,064.29",34
34,Estonia,67,"$17,288.08",35
35,Czech Republic,31,"$17,256.92",36
36,Uruguay,32,"$15,748.19",37
37,Oman,22,"$15,232.96",38
38,Lithuania,53,"$14,210.28",39
39,Latvia,82,"$13,618.57",40
40,Argentina,30,"$13,588.85",41
41,Chile,27,"$13,340.91",42
42,Panama,25,"$13,012.56",43
43,Poland,57,"$12,495.33",44
44,Hungary,94,"$12,239.89",45
45,Croatia,59,"$11,572.91",46
46,Lebanon,93,"$11,236.79",47
47,Costa Rica,12,"$10,936.24",48
48,Kazakhstan,51,"$9,795.63",49
49,Malaysia,58,"$9,556.77",50
50,Turkey,70,"$9,437.37",51
51,Suriname,39,"$9,305.69",52
52,Mauritius,66,"$9,218.43",53
53,Russia,61,"$9,054.91",54
54,Mexico,14,"$9,009.28",55
55,Romania,79,"$8,906.30",56
56,Brazil,16,"$8,670.00",57
57,China,77,"$7,989.72",58
58,Venezuela,23,"$7,744.75",59
59,Gabon,129,"$7,735.94",60
60,Bulgaria,121,"$6,831.66",61
61,Dominican Republic,89,"$6,755.74",62
62,Turkmenistan,65,"$6,622.41",63
63,Montenegro,76,"$6,489.10",64
64,Colombia,33,"$6,083.51",65
65,Ecuador,45,"$6,070.95",66
66,Libya,60,"$6,058.67",67
67,Botswana,115,"$6,040.96",68
68,Peru,55,"$6,021.10",69
69,Belarus,56,"$5,749.12",70
70,Thailand,34,"$5,742.28",71
71,Azerbaijan,73,"$5,739.43",72
72,South Africa,101,"$5,694.57",73
73,Jordan,75,"$5,513.01",74
74,Serbia,80,"$5,119.76",75
75,Jamaica,62,"$4,948.02",76
76,Iraq,100,"$4,819.49",77
77,Algeria,64,"$4,318.14",78
78,Angola,124,"$4,100.32",79
79,Bosnia and Herzegovina,87,"$4,088.21",80
80,El Salvador,41,"$4,040.32",81
81,Paraguay,50,"$4,009.57",82
82,Albania,86,"$3,995.38",83
83,Mongolia,90,"$3,951.91",84
84,Guatemala,42,"$3,929.08",85
85,Tunisia,97,"$3,922.65",86
86,Sri Lanka,119,"$3,889.41",87
87,Georgia,117,"$3,788.62",88
88,Egypt,122,"$3,740.25",89
89,Armenia,114,"$3,534.86",90
90,Indonesia,68,"$3,362.36",91
91,Swaziland,91,"$3,139.66",92
92,Morocco,84,"$3,078.59",93
93,Bolivia,48,"$2,886.23",94
94,Philippines,83,"$2,858.14",95
95,Bhutan,72,"$2,843.40",96
96,Nigeria,71,"$2,742.86",97
97,Honduras,95,"$2,406.62",98
98,Sudan,106,"$2,175.40",99
99,Ukraine,99,"$2,125.43",100
100,Uzbekistan,43,"$2,120.78",101
101,Vietnam,69,"$2,088.34",102
102,Nicaragua,54,"$1,949.23",103
103,Moldova,49,"$1,804.69",104
104,Djibouti,113,"$1,788.36",105
105,India,105,"$1,617.31",106
106,Pakistan,74,"$1,449.98",107
107,Kenya,112,"$1,388.45",108
108,Zambia,78,"$1,350.15",109
109,Ghana,102,"$1,340.42",110
110,Yemen,123,"$1,302.94",111
111,Myanmar,116,"$1,291.96",112
112,Bangladesh,98,"$1,286.87",113
113,Mauritania,111,"$1,282.33",114
114,Cameroon,120,"$1,232.42",115
115,Cambodia,131,"$1,168.04",116
116,Zimbabwe,103,"$1,064.35",117
117,Lesotho,88,"$1,051.61",118
118,Chad,135,$941.90,119
119,Tanzania,132,$941.80,120
120,Tajikistan,96,$922.07,121
121,Senegal,128,$913.02,122
122,Haiti,107,$804.56,123
123,Mali,125,$801.84,124
124,Benin,140,$780.06,125
125,Nepal,108,$751.12,126
126,Comoros,126,$736.35,127
127,Rwanda,139,$731.51,128
128,Ethiopia,109,$686.59,129
129,Sierra Leone,110,$659.44,130
130,Uganda,127,$620.21,131
131,Burkina Faso,137,$614.50,132
132,Afghanistan,138,$599.99,133
133,Togo,142,$569.44,134
134,Guinea,136,$542.42,135
135,Mozambique,85,$534.88,136
136,Liberia,104,$473.64,137
137,Niger,130,$405.21,138
138,Madagascar,133,$401.77,139
139,Malawi,118,$354.28,140
140,Central African Republic,134,$334.87,141
141,Burundi,141,$305.78,142
