,country,happiness_rank
0,Switzerland,1
1,Iceland,2
2,Denmark,3
3,Norway,4
4,Canada,5
5,Finland,6
6,Netherlands,7
7,Sweden,8
8,New Zealand,9
9,Australia,10
10,Israel,11
11,Costa Rica,12
12,Austria,13
13,Mexico,14
14,United States,15
15,Brazil,16
16,Luxembourg,17
17,Ireland,18
18,Belgium,19
19,United Arab Emirates,20
20,United Kingdom,21
21,Oman,22
22,Venezuela,23
23,Singapore,24
24,Panama,25
25,Germany,26
26,Chile,27
27,Qatar,28
28,France,29
29,Argentina,30
30,Czech Republic,31
31,Uruguay,32
32,Colombia,33
33,Thailand,34
34,Saudi Arabia,35
35,Spain,36
36,Malta,37
37,Taiwan,38
38,Kuwait,39
39,Suriname,40
40,Trinidad and Tobago,41
41,El Salvador,42
42,Guatemala,43
43,Uzbekistan,44
44,Slovakia,45
45,Japan,46
46,South Korea,47
47,Ecuador,48
48,Bahrain,49
49,Italy,50
50,Bolivia,51
51,Moldova,52
52,Paraguay,53
53,Kazakhstan,54
54,Slovenia,55
55,Lithuania,56
56,Nicaragua,57
57,Peru,58
58,Belarus,59
59,Poland,60
60,Malaysia,61
61,Croatia,62
62,Libya,63
63,Russia,64
64,Jamaica,65
65,North Cyprus,66
66,Cyprus,67
67,Algeria,68
68,Kosovo,69
69,Turkmenistan,70
70,Mauritius,71
71,Hong Kong,72
72,Estonia,73
73,Indonesia,74
74,Vietnam,75
75,Turkey,76
76,Kyrgyzstan,77
77,Nigeria,78
78,Bhutan,79
79,Azerbaijan,80
80,Pakistan,81
81,Jordan,82
82,Montenegro,82
83,China,84
84,Zambia,85
85,Romania,86
86,Serbia,87
87,Portugal,88
88,Latvia,89
89,Philippines,90
90,Somaliland region,91
91,Morocco,92
92,Macedonia,93
93,Mozambique,94
94,Albania,95
95,Bosnia and Herzegovina,96
96,Lesotho,97
97,Dominican Republic,98
98,Laos,99
99,Mongolia,100
100,Swaziland,101
101,Greece,102
102,Lebanon,103
103,Hungary,104
104,Honduras,105
105,Tajikistan,106
106,Tunisia,107
107,Palestinian Territories,108
108,Bangladesh,109
109,Iran,110
110,Ukraine,111
111,Iraq,112
112,South Africa,113
113,Ghana,114
114,Zimbabwe,115
115,Liberia,116
116,India,117
117,Sudan,118
118,Haiti,119
119,Congo (Kinshasa),120
120,Nepal,121
121,Ethiopia,122
122,Sierra Leone,123
123,Mauritania,124
124,Kenya,125
125,Djibouti,126
126,Armenia,127
127,Botswana,128
128,Myanmar,129
129,Georgia,130
130,Malawi,131
131,Sri Lanka,132
132,Cameroon,133
133,Bulgaria,134
134,Egypt,135
135,Yemen,136
136,Angola,137
137,Mali,138
138,Congo (Brazzaville),139
139,Comoros,140
140,Uganda,141
141,Senegal,142
142,Gabon,143
143,Niger,144
144,Cambodia,145
145,Tanzania,146
146,Madagascar,147
147,Central African Republic,148
148,Chad,149
149,Guinea,150
150,Ivory Coast,151
151,Burkina Faso,152
152,Afghanistan,153
153,Rwanda,154
154,Benin,155
155,Syria,156
156,Burundi,157
157,Togo,158
